,Indikator,Name,Growth_timeframe,pop_dif,unemp_dif
0,Bevölkerungsdichte,Altstadt-Lehel,5,-38,0.25
1,Bevölkerungsdichte,Ludwigsvorstadt-Isarvorstadt,5,-164,0.25
2,Bevölkerungsdichte,Maxvorstadt,5,222,0.2
3,Bevölkerungsdichte,Schwabing-West,5,77,-1.02E-14
4,Bevölkerungsdichte,Au-Haidhausen,5,579,0.1
5,Bevölkerungsdichte,Sendling,5,83,-0.25
6,Bevölkerungsdichte,Sendling-Westpark,5,296,-0.2
7,Bevölkerungsdichte,Schwanthalerhöhe,5,-266,0.1
8,Bevölkerungsdichte,Neuhausen-Nymphenburg,5,152,0.25
9,Bevölkerungsdichte,Moosach,5,189,-0.1
10,Bevölkerungsdichte,Milbertshofen-Am Hart,5,169,-0.2
11,Bevölkerungsdichte,Schwabing-Freimann,5,107,0.4
12,Bevölkerungsdichte,Bogenhausen,5,351,0.2
13,Bevölkerungsdichte,Berg am Laim,5,247,0
14,Bevölkerungsdichte,Trudering-Riem,5,178,0.05
15,Bevölkerungsdichte,Ramersdorf-Perlach,5,256,0.05
16,Bevölkerungsdichte,Obergiesing-Fasangarten,5,4,-0.4
17,Bevölkerungsdichte,Untergiesing-Harlaching,5,182,0.05
18,Bevölkerungsdichte,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,5,312,0.15
19,Bevölkerungsdichte,Hadern,5,175,0.25
20,Bevölkerungsdichte,Pasing-Obermenzing,5,377,0.15
21,Bevölkerungsdichte,Aubing-Lochhausen-Langwied,5,242,0.35
22,Bevölkerungsdichte,Allach-Untermenzing,5,216,0.7
23,Bevölkerungsdichte,Feldmoching-Hasenbergl,5,75,-0.2
24,Bevölkerungsdichte,Laim,5,109,0.2
25,Bevölkerungsdichte,Altstadt-Lehel,10,241,0.05
26,Bevölkerungsdichte,Ludwigsvorstadt-Isarvorstadt,10,285,-0.05
27,Bevölkerungsdichte,Maxvorstadt,10,323,-0.2
28,Bevölkerungsdichte,Schwabing-West,10,878,-0.15
29,Bevölkerungsdichte,Au-Haidhausen,10,1066,-0.1
30,Bevölkerungsdichte,Sendling,10,366,-0.8
31,Bevölkerungsdichte,Sendling-Westpark,10,914,-0.85
32,Bevölkerungsdichte,Schwanthalerhöhe,10,-201,-0.95
33,Bevölkerungsdichte,Neuhausen-Nymphenburg,10,482,0
34,Bevölkerungsdichte,Moosach,10,496,-0.8
35,Bevölkerungsdichte,Milbertshofen-Am Hart,10,335,-1.2
36,Bevölkerungsdichte,Schwabing-Freimann,10,412,0.4
37,Bevölkerungsdichte,Bogenhausen,10,568,0
38,Bevölkerungsdichte,Berg am Laim,10,766,-0.4
39,Bevölkerungsdichte,Trudering-Riem,10,451,-0.05
40,Bevölkerungsdichte,Ramersdorf-Perlach,10,624,-0.7
41,Bevölkerungsdichte,Obergiesing-Fasangarten,10,485,-1.1
42,Bevölkerungsdichte,Untergiesing-Harlaching,10,358,-0.55
43,Bevölkerungsdichte,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,10,778,-0.05
44,Bevölkerungsdichte,Hadern,10,357,-0.7
45,Bevölkerungsdichte,Pasing-Obermenzing,10,668,0.1
46,Bevölkerungsdichte,Aubing-Lochhausen-Langwied,10,397,0
47,Bevölkerungsdichte,Allach-Untermenzing,10,364,0.25
48,Bevölkerungsdichte,Feldmoching-Hasenbergl,10,168,-0.65
49,Bevölkerungsdichte,Laim,10,661,-0.2
50,Bevölkerungsdichte,Altstadt-Lehel,15,501,-0.55
51,Bevölkerungsdichte,Ludwigsvorstadt-Isarvorstadt,15,998,-1.1
52,Bevölkerungsdichte,Maxvorstadt,15,1060,-1.3
53,Bevölkerungsdichte,Schwabing-West,15,1624,-1.25
54,Bevölkerungsdichte,Au-Haidhausen,15,1917,-0.95
55,Bevölkerungsdichte,Sendling,15,780,-1.45
56,Bevölkerungsdichte,Sendling-Westpark,15,1273,-1.9
57,Bevölkerungsdichte,Schwanthalerhöhe,15,1019,-2.3
58,Bevölkerungsdichte,Neuhausen-Nymphenburg,15,1125,-1
59,Bevölkerungsdichte,Moosach,15,672,-2.05
60,Bevölkerungsdichte,Milbertshofen-Am Hart,15,681,-2.2
61,Bevölkerungsdichte,Schwabing-Freimann,15,594,-0.4
62,Bevölkerungsdichte,Bogenhausen,15,742,-0.8
63,Bevölkerungsdichte,Berg am Laim,15,1166,-1.1
64,Bevölkerungsdichte,Trudering-Riem,15,869,-0.2
65,Bevölkerungsdichte,Ramersdorf-Perlach,15,810,-1.8
66,Bevölkerungsdichte,Obergiesing-Fasangarten,15,1078,-2.2
67,Bevölkerungsdichte,Untergiesing-Harlaching,15,630,-1.65
68,Bevölkerungsdichte,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,15,1056,-0.7
69,Bevölkerungsdichte,Hadern,15,562,-1.9
70,Bevölkerungsdichte,Pasing-Obermenzing,15,942,-0.4
71,Bevölkerungsdichte,Aubing-Lochhausen-Langwied,15,486,-1.2
72,Bevölkerungsdichte,Allach-Untermenzing,15,508,-0.05
73,Bevölkerungsdichte,Feldmoching-Hasenbergl,15,264,-1.95
74,Bevölkerungsdichte,Laim,15,1183,-1.05
75,Bevölkerungsdichte,Altstadt-Lehel,20,830,-1.95
76,Bevölkerungsdichte,Ludwigsvorstadt-Isarvorstadt,20,1557,-2.35
77,Bevölkerungsdichte,Maxvorstadt,20,2480,-2.2
78,Bevölkerungsdichte,Schwabing-West,20,3284,-1.8
79,Bevölkerungsdichte,Au-Haidhausen,20,2697,-2.1
80,Bevölkerungsdichte,Sendling,20,1500,-1.5
81,Bevölkerungsdichte,Sendling-Westpark,20,1695,-1.2
82,Bevölkerungsdichte,Schwanthalerhöhe,20,1887,-2.5
83,Bevölkerungsdichte,Neuhausen-Nymphenburg,20,1436,-1.2
84,Bevölkerungsdichte,Moosach,20,849,-0.45
85,Bevölkerungsdichte,Milbertshofen-Am Hart,20,1143,-1.3
86,Bevölkerungsdichte,Schwabing-Freimann,20,741,-0.55
87,Bevölkerungsdichte,Bogenhausen,20,922,-0.9
88,Bevölkerungsdichte,Berg am Laim,20,1485,-0.95
89,Bevölkerungsdichte,Trudering-Riem,20,1283,0.1
90,Bevölkerungsdichte,Ramersdorf-Perlach,20,977,-0.5
91,Bevölkerungsdichte,Obergiesing-Fasangarten,20,1633,-2
92,Bevölkerungsdichte,Untergiesing-Harlaching,20,940,-1.35
93,Bevölkerungsdichte,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,20,1317,-0.65
94,Bevölkerungsdichte,Hadern,20,941,-0.8
95,Bevölkerungsdichte,Pasing-Obermenzing,20,1194,-0.2
96,Bevölkerungsdichte,Aubing-Lochhausen-Langwied,20,502,-0.45
97,Bevölkerungsdichte,Allach-Untermenzing,20,590,-0.1
98,Bevölkerungsdichte,Feldmoching-Hasenbergl,20,349,-1
99,Bevölkerungsdichte,Laim,20,1560,-0.95
